Person7_Reason_for_Not_Consenting,Person_8_Not_Consenting_Age,Person8_Reason_for_Not_Consenting,Person_9_Not_Consenting_Age,Person9_Reason_for_Not_Consenting,Participant_id,Title,First_Name,Middle_Name,Last_Name,DoB,Email,Have_landline_number,Have_mobile_number,Have_email_address,Prefer_receive_vouchers,Confirm_receive_vouchers,No_Email_address,Able_to_take_blood,No_Blood_reason_fingerprick,No_Blood_reason_venous,bloods_barcode_1,Swab_Barcode_1,Date_Time_Samples_Taken,Sex
Consenting,20.0,NONE,3.0,N/a,DHR-602276804025,Miss.,First,Secondfirst,Secondlast,01022020,random016Omail.com,No,No,No,Email,false,No email address,No,Two attempts made,Two attempts made,ONC702202126332,ONS872032298363,1988-12-04 21:47:57 UTC,
na,,NONE,23.0,N/A,DHR-519826617575,,,Secondfirst,Secondlast,,random030Ymail.com,Yes,Yes,,Paper(Post),false,No email address,,Couldn't get enough blood,Participant refused,ONS883089040771,,,
Not interested,8.0,[REDACTED],7.0,N/a,DHR-055819015621,,,Secondfirst,Secondlast,18122021,,Yes,Yes,,Paper(Post),false,No email address,Yes,Other,,ONC876960826911,ONS420762754008,1997-01-25 05:44:27 UTC,
No one elae in house wants to participate,7.0,[REDACTED],,NA,DHR-284372013892,Prof.,First,,Secondlast,07031997,random639Nmail.com,Yes,Yes,Yes,Email,false,No email address,No,Two attempts made,Participant refused,ONN969635024564,ONW621024804616,,Female
No one elae in house wants to participate,,an,,No,DHR-858742267562,Miss.,First,,Secondlast,15121982,random022Imail.com,No,,No,Paper(Post),false,No email address,Yes,Two attempts made,Poor venous access,ONC562240364141,,1985-09-10 20:39:56 UTC,
Consenting,,No,23.0,NONE,DHR-435388196874,Mrs.,First,,Secondlast,,random792Vmail.com,,No,,Paper(Post),false,No email address,Yes,No stock,Poor venous access,,ONS571247952112,,Male
0,17.0,Not interested,,N/a,DHR-936679226110,Dr.,First,Secondfirst,Secondlast,,random045Hmail.com,,No,No,Paper(Post),false,No email address,,Participant time constraints,Other,,ONW433945965413,,Male
Not interested,,,,[REDACTED],DHR-289253958827,Miss.,First,Secondfirst,Secondlast,21101984,random495Vmail.com,,No,No,Email,false,No email address,No,Bruising or pain after first attempt,Participant felt unwell/fainted,ONS225941535543,,1990-08-13 08:59:40 UTC,Male
,1.0,N/A,,N/a,DHR-425592962567,,,,Secondlast,22042015,random064Xmail.com,,Yes,Yes,Paper(Post),true,No email address,,Bruising or pain after first attempt,,ONS276366676869,ONS658912085920,,
Not interested,2.0,NA,6.0,N/A,DHR-846650721507,Ms.,,Secondfirst,Secondlast,07021997,,Yes,No,No,Paper(Post),false,No email address,,,Bruising or pain after first attempt,ONS190811216007,ONW404631908007,1993-11-16 12:56:58 UTC,Male
